_id,cdliNumber,bmIdNumber,accession,genre,fincke,publicationPlace,joins,subcollection,description,length,width,thickness,collection,script,date,folio,register,transliteration,notes
"K.17555","P402885","289179","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11339","","",""
"K.17556","P402886","289178","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11340","","",""
"K.17557","P402887","289177","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11341","","",""
"K.17558","P402888","289176","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11342","","",""
"K.17559","P402889","289175","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11343","","",""
"K.17560","P402890","289174","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11344","","",""
"K.17561","P402891","289173","","","","","","","Bilingual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11345","","",""
"K.17562","P402892","289172","","","","","","","Liver omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11346","","",""
"K.17563","P402893","289171","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11347","","",""
"K.17564","P402894","289170","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11348","","",""
"K.17565","P402895","289169","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11349","","",""
"K.17566","P402896","289168","","","","","","","gulgullatum. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11350","","",""
"K.17567","P402897","289167","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11351","","",""
"K.17568","P402898","289166","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11352","","",""
"K.17569","P402899","289165","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11353","","",""
"K.17570","P402900","289164","","","","","","","Bilingual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11354","","",""
"K.17571","P402901","289163","","","","","","","Dup. K 5173 (CLAM p. 816*), Emesal litany (op. cit. p. 234 233-238). Neo-Assyrian.","","","","Kuyunjik","","","WGL 11355","","",""
"K.17572","P402902","289162","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11356","","",""
"K.17573","P402903","289161","","","","","","","Ritual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11357","","",""
"K.17574","P402904","289160","","","","","","","Ritual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11358","","",""
"K.17575","P402905","289159","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11359","","",""
"K.17576","P402906","289158","","","","","","","Ritual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11360","","",""
"K.17577","P402907","289157","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11361","","",""
"K.17578","P395025","289156","","","","","K.3452SM.147K.17474","","+K 3452+, Theodicy 53-57. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11362","","",""
"K.17579","P402908","289155","","","","","","","Bit rimki, House III A. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11363","","",""
"K.17580","P402909","289154","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11364","","",""
"K.17581","P402910","289153","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11365","","",""
"K.17582","P402911","289152","","","","","","","Royal inscription? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11366","","",""
"K.17583","P402912","289151","","","","","","","Medical? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11367","","",""
"K.17584","P402913","289150","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11368","","",""
"K.17585","P239511","289149","","catalogue","catalogue of texts;upper part of obverse of a small tablet (light clay);1: ur-te-e-ti;2: u ik-kal-a-ni;3: [__ __ k]ur-a;4: [__ __ _]_-kal-lim [(__)] (rest is broken away)","","","","Late Babylonian. Catalogue of texts.","","","","Kuyunjik","NB","","WGL 11369","","",""
"K.17586","P402914","289148","","","","","","","Sumerian religious, Ningiku. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11370","","",""
"K.17587","P402915","289147","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11371","","",""
"K.17588","P402916","289146","","","","","","","Dup. VAB VII 16 32-37, annals of Ashurbanipal. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11372","","",""
"K.17589","P402917","289145","","","","","","","Sumerian liturgical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11373","","",""
"K.17590","P402918","289144","","","","","","","Medical ritual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11374","","",""
"K.17591","P402919","289143","","","","","","","Enuma eliš VII 87-91. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11375","","",""
"K.17592","P402920","289142","","","","","","","Hymn? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11376","","",""
"K.17593","P402921","289141","","","","","","","Prism fragment. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11377","","",""
"K.17594","P402922","289140","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11378","","",""
"K.17595","P402923","289139","","","","","","","Prayer to goddess. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11379","","",""
"K.17596","P402924","289138","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11380","","",""
"K.17597","P402925","289137","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11381","","",""
"K.17598","P402926","289136","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11382","","",""
"K.17599","P402927","289135","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11383","","",""
"K.17600","P239512","289134","","astr omens","EAE","","","","Bilingual hymn. Neo-Assyrian.","","","","Kuyunjik","NB","","WGL 11384","","",""
"K.17601","P402928","289133","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11385","","",""
"K.17602","P402929","289132","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11386","","",""
"K.17603","P402930","289131","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11387","","",""
"K.17604","P402931","289130","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11388","","",""
"K.17605","P402932","289129","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11389","","",""
"K.17606","P402933","289128","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11390","","",""
"K.17608","P402934","289126","","","","","","","Medical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11392","","",""
"K.17609","P402935","289125","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11393","","",""
"K.17610","P395043","289124","","","","","K.3481","","+K 3481+, dup. CT 17 31-32, Alam-n&#237;g-sag-&#237;l-la. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11394","","",""
"K.17611","P402936","289123","","","","","","","Sumerian litany, Ukkinta ešbar tilla, Cohen, Eršemma no. 27, cf. CLAM pp. 479ff.; J. A. Black, BiOr 44 47. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11395","","",""
"K.17612","P402937","289122","","","","","","","Sumerian. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11396","","",""
"K.17613","P402938","289121","","","","","","","Tamitu or related. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11397","","",""
"K.17614","P402939","289120","","","","","","","Royal dedication? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11398","","",""
"K.17615","P402940","289119","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11399","","",""
"K.17616","P402941","289118","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11400","","",""
"K.17617","P402942","289117","","","","","","","Sumerian hymn? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11401","","",""
"K.17618","P402943","289116","","","","","","","Literary? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11402","","",""
"K.17619","P402944","289115","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11403","","",""
"K.17620","P402945","289114","","","","","","","Omens or ritual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11404","","",""
"K.17621","P397974","289113","","","","","K.9216","","+K 9216, medical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11405","","",""
"K.17622","P402946","289112","","","","","","","Neo-Assyrian letter?","","","","Kuyunjik","","","WGL 11406","","",""
"K.17623","P402947","289111","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11407","","",""
"K.17624","P402948","289110","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11408","","",""
"K.17625","P402949","289109","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11409","","",""
"K.17626","P402950","289108","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11410","","",""
"K.17627","P395774","289107","","","","","K.4900K.4949K.5331K.5367K.8421K.13515K.5197.bK.12642K.13496K.18121K.5085K.20383K.17680K.21190","","+K 4900+... (CT 17 38-40) +K 17680+18121+20383+21190, bilingual incantations, Mis p&#238;?. See K 16933, 19796 and 20269. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11411","","",""
"K.17628","P402951","289106","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11412","","",""
"K.17629","P402952","289105","","","","","","","Administrative, list of valuable items. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11413","","",""
"K.17630","P402953","289104","","","","","","","Neo-Assyrian administrative?","","","","Kuyunjik","","","WGL 11414","","",""
"K.17631","P239513","289103","","liver omens ? orreport extispicy ?","extispicy (?) or report on liver omens (?);fragment with left edge (light to red clay)","","","","Late Babylonian. Extispicy.","","","","Kuyunjik","NB","","WGL 11415","","",""
"K.17632","P402954","289102","","","","","","","Astronomy/astrology. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11416","","",""
"K.17633","P402955","289101","","","","","","","mešari. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11417","","",""
"K.17634","P402956","289100","","","","","","","Magic ([Asal]luḫi)? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11418","","",""
"K.17635","P402957","289099","","","","","","","Dup. K 8268+ (AMT 65 3) 10-13, Šumma alu CIII. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11419","","",""
"K.17636","P239514","289098","","report extispicy ? or oracle enquiry ?","Coarse Babylonian script;fragmentary (middle part) report on liver omens (?) (or: query to the sungod) (5 lines; light to red clay)","","","","Coarse Late Babylonian. Omens.","","","","Kuyunjik","NB","","WGL 11420","","",""
"K.17637","P402958","289097","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11421","","",""
"K.17638","P393797","289096","","","","","K.224K.2378K.90021881,0727.244","","+K 224+, CT 16 5 192-200, Udugḫul 3. Neo-Assyrian.","3 (incomplete)","2,1 (incomplete)","1,2 (incomplete)","Kuyunjik","","","WGL 11422","","",""
"K.17639","P402959","289095","","","","","","","Ritual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11423","","",""
"K.17640","P402960","289094","","","","","","","(+)K 5007+, dup. CLAM pp. 385-6 32-35, bilingual litany, A'abba ḫuluḫḫa. See K 18643. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11424","","",""
"K.17641","P402961","289093","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11425","","",""
"K.17642","P402962","289092","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11426","","",""
"K.17643","P402963","289091","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11427","","",""
"K.17644","P402964","289090","","","","","","","Bilingual Eršaḫunga, Maul p. 374, pl. 61*. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11428","","",""
"K.17645","P402965","289089","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11429","","",""
"K.17646","P395660","289088","","","","","K.4618","","+K 4618, dup. Witzel, Tammuz Liturgien p. 138 46-14, bilingual litany. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11430","","",""
"K.17647","P398395","289087","","","","","K.9917","","+K 9917, dup. AfO 19 64 77-82, Marduk prayer no. 2. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11431","","",""
"K.17648","P395027","289086","","","","","K.3455K.9937K.18309K.17525K.18117K.18440K.5660K.18029","","+K 3455+. See K 17525. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11432","","",""
"K.17649","P402966","289085","","","","","","","Emesal. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11433","","",""
"K.17650","P239515","289084","","report extispicy ? or oracle enquiry ?","Coarse Babylonian script;fragmentary (right edge) report on liver omens (?) (or: query to the sungod) (red clay)","","","","Coarse Late Babylonian.","","","","Kuyunjik","NB","","WGL 11434","","",""
"K.17652","P395638","289082","","","","","K.4562K.8267K.11639K.13588K.14245K.16172K.16859K.17849K.22243SM.1842","","dup. MSL IV 5, Emesal Vocabulary I 18-30. See K 16859. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11436","","",""
"K.17653","P402967","289081","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11437","","",""
"K.17654","P239516","289080","","omens; (?)","midddle part of obverse (?) (red clay) (..1+3+3.. lines)","","","","Late Babylonian. Omens?","","","","Kuyunjik","NB","","WGL 11438","","",""
"K.17655","P238532","289079","","joined to K. 05689","","","K.5689","","Late Babylonian. Astrology.","","","","Kuyunjik","NB","","WGL 11439","","",""
"K.17656","P402968","289078","","","","","","","Ritual and recitation. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11440","","",""
"K.17657","P402969","289077","","","","","","","Sumerian litany, A'abba ḫuluḫḫa, dup. CLAM pp. 386-387 49-60, cf. K 18643. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11441","","",""
"K.17658","P402970","289076","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11442","","",""
"K.17659","P402971","289075","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11443","","",""
"K.17660","P239517","289074","","astr omens","EAE ?fragment of obverse (?) (light clay) (6 lines)","","","","Late Babylonian. Enuma Anu Enlil.","","","","Kuyunjik","NB","","WGL 11444","","",""
"K.17661","P402972","289073","","","","","","","Bilingual, psalm? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11445","","",""
"K.17662","P402973","289072","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11446","","",""
"K.17663","P402974","289071","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11447","","",""
"K.17664","P402975","289070","","","","","","","Lexical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11448","","",""
"K.17665","P402976","289069","","","","","","","Dup. AKA 64 IV 52-55, royal inscription of Tiglath-pileser I. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11449","","",""
"K.17666","P402977","289068","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11450","","",""
"K.17667","P402978","289067","","","","","","","Religious (bilingual?). Neo-Assyrian.","","","","Kuyunjik","","","WGL 11451","","",""
"K.17668","P402979","289066","","","","","","","Prayer. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11452","","",""
"K.17669","P402980","289065","","","","","","","ḫabburru. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11453","","",""
"K.17670","P402981","289064","","","","","","","End of text with 60xX+28 lines. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11454","","",""
"K.17671","P402982","289063","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11455","","",""
"K.17672","P402983","289062","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11456","","",""
"K.17673","P402984","289061","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11457","","",""
"K.17674","P402985","289060","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11458","","",""
"K.17675","P402986","289059","","","","","","","Sumerian? Religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11459","","",""
"K.17676","P402987","289058","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11460","","",""
"K.17677","P402988","289057","","","","","","","Ritual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11461","","",""
"K.17678","P402989","289056","","","","","","","Eršaḫunga or other incantation? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11462","","",""
"K.17679","P402990","289055","","","","","","","Literary/religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11463","","",""
"K.17680","P395774","289054","","","","","K.4900K.4949K.5331K.5367K.8421K.13515K.5197.bK.12642K.13496K.18121K.17627K.5085K.20383K.21190","","+K 4900+, CT 17 40, bilingual incantations. See K 17627. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11464","","",""
"K.17681","P402991","289053","","","","","","","Sumerian or bilingual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11465","","",""
"K.17682","P402992","289052","","","","","","","Sumerian or bilingual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11466","","",""
"K.17683","P402993","289051","","","","","","","Ritual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11467","","",""
"K.17684","P402994","289050","","","","","","","Omens or myth? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11468","","",""
"K.17685","P402995","289049","","","","","","","Bilingual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11469","","",""
"K.17686","P402996","289048","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11470","","",""
"K.17687","P402997","289047","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11471","","",""
"K.17688","P402998","289046","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11472","","",""
"K.17689","P402999","289045","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11473","","",""
"K.17690","P403000","289044","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11474","","",""
"K.17691","P403001","289043","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11475","","",""
"K.17692","P403002","289042","","","","","","","bariri. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11476","","",""
"K.17693","P239518","289041","","?","upper right edge of reverse (?) (light slip on red core) (5 lines)","","","","Late Babylonian.","","","","Kuyunjik","NB","","WGL 11477","","",""
"K.17694","P403003","289040","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11478","","",""
"K.17695","P403004","289039","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11479","","",""
"K.17696","P403005","289038","","","","","","","Sumerian, lament? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11480","","",""
"K.17697","P403006","289037","","","","","","","Emesal litany. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11481","","",""
"K.17698","P403007","289036","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11482","","",""
"K.17699","P403008","289035","","","","","","","Medical? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11483","","",""
"K.17700","P403009","289034","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11484","","",""
"K.17701","P403010","289033","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11485","","",""
"K.17702","P403011","289032","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11486","","",""
"K.17703","P403012","289031","","","","","","","Medical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11487","","",""
"K.17704","P403013","289030","","","","","","","Prayers. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11488","","",""
"K.17705","P403014","289029","","","","","","","Ritual. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11489","","",""
"K.17706","P403015","289028","","","","","","","Restoration of Emeslam (by Ashurbanipal? Cf. VAB VII p. 186). Neo-Assyrian.","","","","Kuyunjik","","","WGL 11490","","",""
"K.17707","P403016","289027","","","","","","","Sumerian incantations. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11491","","",""
"K.17708","P403017","289026","","","","","","","Religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11492","","",""
"K.17709","P403018","289025","","","","","","","Prayer? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11493","","",""
"K.17710","P239519","289024","","rit inc (?) or bil; (?)","left edge fragment (almost 90° from obverse to the edge) (yellow slip on red core).-> jf (2003): check (+) Sm. 1901 or DT. 255.","","","","Late Babylonian.","","","","Kuyunjik","NB","","WGL 11494","","",""
"K.17711","P403019","289023","","","","","","","Prayer? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11495","","",""
"K.17712","P403020","289022","","","","","","","Sumerian incantation. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11496","","",""
"K.17713","P403021","289021","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11497","","",""
"K.17714","P403022","289020","","","","","","","Neo-Assyrian administrative.","","","","Kuyunjik","","","WGL 11498","","",""
"K.17715","P403023","289019","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11499","","",""
"K.17716","P403024","289018","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11500","","",""
"K.17717","P403025","289017","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11501","","",""
"K.17718","P403026","289016","","","","","","","Sumerian? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11502","","",""
"K.17719","P403027","289015","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11503","","",""
"K.17720","P403028","289014","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11504","","",""
"K.17721","P403029","289013","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11505","","",""
"K.17722","P403030","289012","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11506","","",""
"K.17723","P403031","289011","","","","","","","Royal inscription? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11507","","",""
"K.17724","P403032","289010","","","","","","","Medical. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11508","","",""
"K.17725","P357144","289009","","","","","","","Sumerian, Enlil and Ninlil 68-75, JAOS 103 49*. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11509","","",""
"K.17726","P384933","289008","","","","","K.5016","","+K 5016, OECT VI pl. I, Emesal psalm. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11510","","",""
"K.17727","P403033","289007","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11511","","",""
"K.17728","P403034","289006","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11512","","",""
"K.17729","P403035","289005","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11513","","",""
"K.17730","P403036","289004","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11514","","",""
"K.17731","P403037","289003","","","","","","","tuquntu. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11515","","",""
"K.17732","P403038","289002","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11516","","",""
"K.17733","P403039","289001","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11517","","",""
"K.17734","P403040","289000","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11518","","",""
"K.17735","P403041","288999","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11519","","",""
"K.17736","P336636","288998","","","","SAA 05, 101","","","Neo-Assyrian letter?","","","","Kuyunjik","","","WGL 11520","","",""
"K.17737","P395896","288997","","","","","K.5126K.17790","","Bilingual incantation, cf. CT 16 39. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11521","","",""
"K.17738","P403042","288996","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11522","","",""
"K.17739","P403043","288995","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11523","","",""
"K.17740","P403044","288994","","","","","","","Religious. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11524","","",""
"K.17741","P403045","288993","","","","","","","Sumerian. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11525","","",""
"K.17742","P403046","288992","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11526","","",""
"K.17743","P289805","288991","","","","","K.2016.aK.4421K.136281882,0323.150K.21957K.5419.bK.8217K.8238K.9977K.12905SM.1332","","+K 2016a+, Urra=ḫubullu IV 161-166 (MSL V 165). Neo-Assyrian.","","","","Kuyunjik","","","WGL 11527","","",""
"K.17744","P403047","288990","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11528","","",""
"K.17745","P239520","288989","","report extispicy (?)","lower edge fragment (red clay);script looks like a report on liver omens","","","","Late Babylonian. Uncertain.","","","","Kuyunjik","NB","","WGL 11529","","",""
"K.17746","P403048","288988","","","","","","","Sumerian or omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11530","","",""
"K.17747","P403049","288987","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11531","","",""
"K.17748","P403050","288986","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11532","","",""
"K.17749","P403051","288985","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11533","","",""
"K.17750","P403052","288984","","","","","","","(+)Sm 325? Bilingual litany. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11534","","",""
"K.17751","P403053","288983","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11535","","",""
"K.17752","P403054","288982","","","","","","","Atra-ḫasis I, 289-295, 301-302 (AfO 27 75*). Neo-Assyrian.","","","","Kuyunjik","","","WGL 11536","","",""
"K.17753","P402585","288981","","","","","K.17222","","Neo-Assyrian.","","","","Kuyunjik","","","WGL 11537","","",""
"K.17754","P403055","288980","","","","","","","Bilingual? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11538","","",""
"K.17755","P403056","288979","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11539","","",""
"K.17756","P403057","288978","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11540","","",""
"K.17757","P403058","288977","","","","","","","Omens. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11541","","",""
"K.17758","P336646","288976","","","","SAA 07, 178","","","Coarse script. Administrative. Offerings? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11542","","",""
"K.17759","P403059","288975","","","","","","","Omens? Neo-Assyrian.","","","","Kuyunjik","","","WGL 11543","","",""
"K.17760","P403060","288974","","","","","","","Uncertain. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11544","","",""
"K.17761","P336730","288973","","","","SAA 12, 066","","","Coarse script, administrative. Grant/census. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11545","","",""
"K.17762","P403061","288972","","","","","","","Hymn/prayer. Neo-Assyrian.","","","","Kuyunjik","","","WGL 11546","","",""
